question_id,question,correct_answer,incorrect_answer_1,incorrect_answer_2
1,Mit nevezünk hosszúsági köröknek?,Az Egyenlítő síkjára merőleges és a pólusokon áthaladó köröket.,"Az Egyenlítővel párhuzamosak köröket, amelyek a pólusokon egy pontba futnak össze.","Az egyenlítővel párhuzamosak köröket, amelyek Greenwich-ben egy pontba futnak össze."
2,Mit nevezünk földrajzi hosszúságnak?,Adott földrajzi ponton áthaladó hosszúsági kör síkjának a kezdő hosszúsági kör síkjával bezárt szögét.,A földrajzi pontot a Föld középpontjával összekötő egyenes és az Egyenlítő síkja által bezárt szöget.,Két földrajzi pont közötti földfelszíni összekötő vonal hosszát.
3,Mit nevezünk földrajzi szélességnek?,Adott földrajzi pontot a Föld középpontjával összekötő egyenes és az Egyenlítő síkja által bezárt szöget.,Egy földrajzi ponton áthaladó meridián síkjának a kezdőmeridián síkjával bezárt szögét.,A földrajzi pontot a Föld középpontjával összekötő egyenes és a Föld forgástengelye által bezárt szöget.
4,Melyik hosszúsági kört nevezzük kezdő hosszúsági körnek?,Ez a Greenwich-i csillagvizsgálón áthaladó hosszúsági kör.,Mindig az indulási kikötőn áthaladó hosszúsági kört nevezzük kezdő hosszúsági körnek.,Ez a Párizson áthaladó hosszúsági kör.
5,Milyen előjellel számoljuk a nullától mért keleti hosszúsági irányt?," +, azaz, pozitív."," -, azaz negatív.",
6,Milyen előjellel számoljuk a nullától mért nyugati hosszúsági irányt?," -, azaz negatív."," +, azaz, pozitív.",
7,Milyen előjellel számoljuk az északi szélességi irányt?," +, azaz, pozitív."," -, azaz negatív.",
8,Milyen előjellel számoljuk a déli szélességi irányt?," -, azaz negatív."," +, azaz, pozitív.",
9,Mennyi egy tengeri mérföld hossza méterben?,1852 méter.,1528 méter.,1285 méter.
10,Mi a definíciója a csomó mértékegységnek?,Az egy óra alatt megtett távolságot jelenti tengeri mérföldben mérve.,Az egy óra alatt megtett távolságot jelenti méterben mérve.,Az egy óra alatt megtett távolságot jelenti kilométerben mérve.
11,Mi az UTC fogalma?,"Az UTC az egyezményes koordinált világidő angol betűrövidítése. Ez az az időzóna, amelyikhez a Föld összes többi időzónáját viszonyítjuk.","Ez a világidő, vagyis a 0 szélességi körnél lévő időpont.","Ez a világidő, vagyis a mindenkori idő ami a hajón van, függetlenül annak helyzetétől."
12,15 csomós sebességgel haladunk. Mennyi idő kell 3 tengeri mérföld megtételéhez?,12 perc.,6 perc.,3 perc.
13,Hogyan végezhetünk helymeghatározást iránylatok mérésével?,Kettő vagy több céltárgy valódi iránylatát felrajzoljuk a térképünkre és az így kapott vonalak metszéspontjában lesz a pozíciónk.,A szélirány figyelembevételével kiszámítjuk a variációból és a deviációból a pozíciónkat.,A tengeráramlás figyelembevételével kiszámítjuk a variációból és a deviációból a pozíciónkat.
14,"Hogyan végezhetünk helymeghatározást, ha csak egy céltárgyat tudunk megfigyelni?",Orrszög kettőzéssel vagy csúsztatott helyzetvonallal.,A szélirány figyelembevételével kiszámítjuk a variációból és a deviációból a pozíciónkat.,"A tengeráramlás figyelembevételével, és a variációval korrigálva számolunk pozíciót."
15,Egyenletes-e a föld felszínén a mágneses tér?,Nem.,Igen.,
16,Mit nevezünk variációnak?,"Az adott földrajzi helyen áthaladó mágneses erővonal, és a valódi északi irány szögeltérését nevezzük variációnak.",A mágneses északi irány és a tájoló által jelzett északi irány különbségét variációnak nevezzük.,"A hajó mágneses térereje befolyásolja az eltérést, ezt nevezzük variációnak."
17,Fejezze be a mondatot! A variáció (     ),keleti (E) vagy nyugati (W) lehet.,északi (N) vagy déli (S) lehet.,csak pozitív lehet.
18,Mi a keleti variáció előjele a számítások során?," +, azaz, pozitív."," -, azaz negatív.",
19,Mi a nyugati variáció előjele a számítások során?," -, azaz negatív."," +, azaz, pozitív.",
20,Mit jelent a térképen ez a tájékoztató szöveg: Magnetic Variation 4°30'W 2011 (8'E)?,"Az adott pozícióban, 2011. évben a mágneses variáció értéke 4 fok 30 perc volt nyugati irányba. Ez az érték változik évente 8 percet kelet felé.",4 fok 30 perc nyugati hosszúságon lévő pozícióban a mágneses variáció értéke 2011-ben 8 perc keleti irányban.,"A 2011. évi felmérés szerint a mágneses variáció értéke 4 fok 30 perc nyugatra, a mérési hibatartomány 8 perc. "
21,Milyen irányba mutat a mágneses tájolónk mágnestűje?,"A tű a földmágnesség és a hajómágnesség eredő erőinek irányába mutat, ezt nevezzük tájoló északi iránynak.","A tű az útirányunkba mutat, ezt nevezzük tájoló útiránynak.","A tű a valódi északi irányba mutat, amennyiben a tájolót kompenzáltuk a térképen leolvasott variáció értékével."
22,Mi befolyásolja az orrszög értékét?,A saját hajónk vagy a céltárgy mozgása.,A variáció.,A deviáció.
23,Milyen térképet használnak kishajókon a part menti navigációhoz?,Mercator-féle vetületet.,Gnomonikus vetületet.,Középponti síkvetületű térképet.
24,Méretarány (lépték) szerint csoportosítva milyen térképekkel találkozhatunk egy hajón?,"Átnézeti, útvonal, részlet, részletes part és kikötői térképekkel.","A régebbi kiadású térképek más léptékűek, mint a ma használatosak. Helymeghatározásnál erre ügyelni kell.","A4-es hordozható (kormányállásban használható), és A3-as nagyméretű (térképasztalon használatos) térképek."
25,Hogyan mérjük meg a Mercator térképen két pont távolságát?,"A pontok körzőnyílásba vett távolságát a térkép függőleges keretéhez illesztve le tudjuk olvasni, hogy hány ívperc, azaz hány tengeri mérföld a mérendő távolság.",A térképen lévő távolságmérő skála segítségével.,A térkép alján vagy tetején mért hosszúságkülönbségként számoljuk ki.
26,"Hogyan járunk el, ha nagyobb távolságot kell lemérnünk a Mercator térképen (amelyet a körzőnk már nem ér át)?","A végpontok közötti közepes szélességen körzőnyílásba veszünk egy 5 vagy 10 mérföldes egységet, és ezt a térképen többször, lépegetve felmérjük.","A térképen lévő távolságmérő skála, és mérőszalag alkalmazásával.","A térkép alján vagy tetején lévő skála közepes hosszúságán, egyenes vonalzó segítségével."
27,"A mellékelt horvát térképrészleten, a piros nyíllal jelzett helyen, milyen színű fénnyel világít a szektoros fény?",Fehér.,Vörös.,Sárga.
28,A mellékelt térképrészleten a piros nyíl milyen vízmélységet jelöl?,79 méter.,7 méter 90 centiméter.,79 láb.
29,Mit jelent a piros nyíllal jelzett térképjel?,"Horgonyzóhely, a vízmélység 4,1 méter.","Kijelölt kikötőhely, legfeljebb 41 láb hosszú hajók részére.","Ajánlott horgonyzóhely, a megengedett legnagyobb merülés 4,1 fathom."
30,A mellékelt horvát térképrészleten a piros nyíllal jelzett helyen milyen színű fénnyel világít a szektoros fény?,Vörös.,Fehér.,Sárga.
31,Mit jelent a piros nyíllal jelzett térképjel?,"Horgonyzóhely, 4,3 méteres vízmélységgel.","Kikötőhely, 43 láb vízmélységgel.","Horgonyzóhely, 4,3 kábel vízmélységgel."
32,Mit jelent a piros nyíllal jelzett térképjel?,Horgonyzóhely.,Kijelölt kikötőhely.,Jachtkikötő (marina).
33,Mit jelent a piros nyíllal jelzett térképjel?,"Elsüllyedt hajóroncs, olyan mélységben, hogy áthajózni felette nem veszélyes.","Víz alatti elektromos kábelvezeték, áthajózni felette nem veszélytelen.",Vízfelszínen úszó meteorológiai állomás.
34,"Mit jelent a mellékelt térképrészleten a piros nyíllal jelzett, sárga színnel jelölt terület?",A sárgával jelölt terület szárazföld. A tenger szintje fölé alig kiemelkedő szigetecskék a kishajók részére gyakran veszélyes helyek.,"A sárgával jelölt területen minden esetben legalább 10 méter vízmélység áll rendelkezésre, áthajózni felette nem veszélyes.","A sárgával jelölt terület sekély vízmélységet jelez, ezért áthajózni felette nem veszélytelen."
35,Mit jelent a piros nyíllal jelzett térképjel?,Révkalauz beszállóállomás.,Rádióállomás.,AIS állomás.
36,Mit jelent a piros nyíllal jelzett térképjel?,Tenger alatti kábel.,Vízfelszínen lebegő kábelvezeték.,Mederfenéken található törésvonal.
37,Mit jelez a mellékelt térképrészleten a piros nyíllal jelzett vonal?,100 méter vízmélységet.,100 láb vízmélységet.,100 fathom vízmélységet.
38,Mit jelez a mellékelt térképrészleten a piros nyíllal jelzett vonal?,14 fok 50 perc hosszúsági kört.,"14,50 fok hosszúsági kört.",14 fok 50 perc szélességi kört.
39,"A mellékelt horvát térképrészleten, a piros nyíllal jelzett helyen, milyen színű fénnyel világít a szektoros fény?",Fehér.,Zöld.,Sárga.
40,A mellékelt horvát térképrészleten a piros nyíllal jelzett helyen lévő bója milyen színű szektoros fényekkel világít?,Fehér és vörös.,Zöld és vörös.,Sárga és fehér.
41,Mit jelent a piros nyíllal jelzett térképjel?,Víz alatti csővezeték.,Víz alatti elektromos kábelvezeték.,Kikötőbe vezető irányvonalak.
42,"Milyen anyagú tengerfeneket jelez a térképrészleten piros nyíllal jelzett, M betűből álló térképjel?",Iszapos.,Kavicsos.,Sziklás.
43,Mit jelent a piros nyíllal jelzett térképjel?,"Sekély terület vagy zátony, a legkisebb vízmélység 14,7 méter.","Hajózásra nem veszélyes víz alatti roncs, a vízmélység 147 láb.","Kavicsos tengerfenék, a legnagyobb vízmélység 14,7 fathom."
44,Mit jelent a piros nyíllal jelzett térképjel?,"Sekély terület vagy zátony, a legkisebb vízmélység 10,2 méter.","Hajózásra nem veszélyes víz alatti roncs, 102 láb mélységű víz.","Kavicsos tengerfenék, a legnagyobb vízmélység 10,2 fathom."
45,Mit jelent a piros nyíllal jelzett térképjel? Fejezze be a mondatot! Két sziget közötti forgalomelválasztó rendszer (     ),északi hajózási zónája.,nyugati hajózási zónája.,keleti hajózási zónája.
46,Mit jelent a térképrészleten piros nyíllal jelzett térképjel?,"Veszélyes szikla, amely időnként víz alatt van, időnként kilátszik (pl. ár-apály miatt).",Vízfelszín fölé mindig kiemelkedő kis sziklasziget.,"Víz alatt lévő szikla, áthajózni felette nem veszélyes."
47,"Milyen anyagú tengerfeneket jelez a térképrészleten piros nyíllal jelzett, S betűből álló térképjel?",Homokosat.,Kavicsosat.,Mészköveset.
48,Mit jelent a térképrészleten piros nyíllal jelzett térképjel?,Hullámtörés (pl. ár-apály miatt).,Halászoknak fenntartott hely.,Veszélyes vízfelszíni áramlatok.
49,Mit jelent a mellékelt angol nyelvű térképrészleten a piros nyíllal jelzett helyen lévő OBSCURED felirat? Fejezze be a mondatot! A világítótorony fénye (     ),"eltakart, nem látható.",vörösen látható (obscu red).,a jelzett szektorban látható.
50,Mit jelöl a térképrészleten a piros nyíllal jelzett # térképjel?,"Rossz minőségű mederfeneket. Áthajózni felette nem veszélyes, de horgonyzásra nem javasolt.",Történelmi hajóroncsot.,Víz alatti sziklát. Áthajózni felette nem veszélytelen.
51,Mit jelöl a térképrészleten piros nyíllal jelzett terület?,Mély merülésű hajók horgonyzóhelyét.,Halászhajók horgonyzóhelyét.,"A zónát, ahol horgonyozni tilos."
52,"Milyen távolságból látható a felvillanó fehér fény, ha a mellékelt angol nyelvű térképrészleten piros nyíllal jelzett helyen lévő információsorban ezt olvassuk: Fl.WR. 5s 17/12M?",17 tengeri mérföld.,12 tengeri mérföld.,Fehér fényt nem látunk.
53,Mit jelent a piros nyíllal jelzett térképjel?,AIS jeladóval ellátott világítótorony.,Rádiójelet sugárzó világítótorony.,Radarjelet visszaverő világítótorony.
54,Mit jelent a mellékelt horvát térképrészleten a piros nyíllal jelzett helyen lévő jelzőtestre vonatkozó információk közül az 5m 3M érték?,"A fényjelzés 5 méter magasan van, 3 tengeri mérföldről látható.","A fényjelzés 3 méter magasan van, 5 tengeri mérföldről látható.",A fényjelzés láthatósága 3 és 5 tengeri mérföld között van.
55,Milyen vonalra mutat a mellékelt horvát térképrészleten a piros nyíl?,A hajózható útirányt jelző fehér szektorfény határvonalára.,A körbevilágító sárga szektorfény határvonalára.,Az irányító rádiójelek szektorainak határvonalára.
56,Mit jelent a mellékelt horvát térképrészleten a piros nyíllal jelzett helyen olvasható információsor: C Bl(2) 6s 12m 4M?,"Hat másodpercenként kettőször felvillanó, vörös színű fény, amely 12 méter magas és 4 tengeri mérföldről látható.","Hat másodpercenként két másodpercre megszakított, fehér színű fény, amely 4 méter magas és 12 tengeri mérföldről látható.","Tizenkét percenként hat másodpercre elsötétedő, két színű (vörös és fehér) fény, amely 4 tengeri mérföldről látható."
57,Hová mutat a horvát térképrészleten a piros nyíl?,Egy szektoros fényű világítótorony fehér szektorára.,Egy szektoros fényű világítótorony piros szektorára.,Egy szektoros fényű világítótorony zöld szektorára.
58,Mit jelent a mellékelt horvát térképrészleten a piros nyíllal jelzett helyen lévő világítótoronyról szóló információsorban a Bl(2) 10s érték?,"Csoportos, tíz másodpercenként kettőt felvillanó fény.","Állandó fázisú fény, tíz másodperc ideig két szín villan fel.",Tíz másodpercenként két másodpercre elsötétedő fény.
59,Milyen területet jelez a mellékelt horvát térképrészleten a piros nyíl? Fejezze be a mondatot! Kikötő világítótornyának (     ),zöld (behajózható) szektorát.,sárga (behajózható) szektorát.,fehér (behajózható) szektorát
60,Mit jelent a mellékelt angol nyelvű térképrészleten a piros nyíllal jelzett helyen lévő információsorban a Horn(1) 30s felirat? Fejezze be a mondatot! A világítótorony korlátozott látási viszonyok között (     ),30 másodpercenként egy kürtjelet ad.,30 percenként kongat egyet.,a fényjelzésekkel szinkronban hangjelzéseket is ad.
61,Mit jelent az angol nyelvű a térképrészleten a piros nyíllal jelzett FR térképfelirat? Fejezze be a mondatot! A világítótorony szektoros fénye (     ),"állandó (folyamatosan világító), vörös színű.","ebben a szektorban eltakart, nem látszik (obscured).","egyszer felvillanó, vörös fényű."
62,"Mit jelent az angol nyelvű a térképrészleten a piros nyíllal jelzett információs feliratból az a rész, hogy Iso.WR.10s? Fejezze be a mondatot! A világítótorony fénye (     )","izofázisú, a világító és a sötét fázis tíz másodpercenként váltja egymást, a színe fehér és vörös.","felvillanó, tíz másodpercenként villan egyet, vörös és zöld színű.","állandó, színe fehér, tíz másodpercenként egy vörös villanással megszakítva."
63,Milyen jellegű (karakterisztikájú) lehet egy világítótorony fénye?,"Állandó, villanó, csoportosan villanó, elsötétedő, izofázisú, szektoros fény.","A világítótornyon mindig villanó fények vannak, míg az úszó bójákon állandóak.",A világítótorony fényei mindig szektoros fények.
64,Mit jelent az Fl(3)W 16s 20m 15M jelölés egy angol nyelvű hajózási térképen?,"Csoportos, 16 másodpercenként háromszor felvillanó fehér fény, amely 20 méter magasan van elhelyezve, és 15 tengeri mérföldről látható.","Állandó fázisú, 16 másodpercenként háromszor villanó, 20 tengeri mérföldről látható, 15 méter magasan elhelyezett fény.","Három percenkét 16 másodpercre elsötétülő fehér fény, 15 és 20 tengeri mérföld közötti láthatósággal."
65,Mit jelent a piros nyíllal jelzett térképjel?,Különálló veszélyes helyet jelölő bója.,"Déli irányban veszélyt jelölő, északi kardinális bója.",Hajóút szélét jelölő laterális bója.
66,Milyen információt hordoz a horvát térképrészleten a piros nyíllal jelölt terület?,"Ez egy különálló veszélyes hely. A veszélyt jelzi a világítótorony vörös színű szektorfénye, és egy fényjelzéssel ellátott bója.",A bójával megjelölt veszélyes hely nagy magassága kitakarja a világítótorony körbevilágító fényjelzését.,"A nyíllal megjelölt szektorban csak a különálló veszélyes helyet jelölő bója vörös színű villogó fénye látható, a világítótorony fénye nem."
67,Mit jelöl a térképen piros nyíllal jelzett bója?,Különálló veszélyes helyet.,Nyugatra lévő veszélyes helyet (keleti kardinális bója).,Hajóút tengelyét.
68,Mit jelöl a térképen piros nyíllal jelzett bója?,Délre lévő veszélyes helyet (északi kardinális bója).,Északra lévő veszélyes helyet (déli kardinális bója).,Különálló veszélyes helyet.
69,"Milyen bójára mutat az angol nyelvű térképrészleten a piros nyíl? Fejezze be a mondatot! Hajózási csatorna szélén lévő, (     )",öt másodpercenként egy zöld fénnyel felvillanó bójára.,öt másodpercenként egy vörös fénnyel felvillanó bójára.,öt másodpercenként egy fehér fénnyel felvillanó bójára.
70,Mit jelent a mellékelt angol nyelvű térképrészleten a piros nyíllal jelzett helyen lévő bójáról szóló információsorban a BELL felirat? Fejezze be a mondatot! A bója (     ),hullámos vízen harangozik.,radarreflektorral ellátott.,rádiójelet sugároz.
71,Milyen hajóút kitűzési rendszert alkalmaznak az európai tengereken?,IALA-A,IALA-B,
72,Mi a forgalomelválasztó (szeparációs) rendszerben való hajózás fő szabálya?,"Csak a kijelölt forgalmi sávban, az arra vonatkozó általános haladási irányban szabad haladni (a halászhajók és keresztező hajók kivételével).",A tengeri vízi forgalom szeparálódik a hajók aktuális merülés adatai alapján.,"A forgalomelválasztó rendszer kizárólag csak a nagyhajókra vonatkozik, így a kishajó közlekedhet bárhol."
73,Egymással szembe haladó géphajóknak hogyan kell kitérniük?,Jobbra téréssel (red to red).,Balra téréssel (green to green).,"Egyik jobbra tér, a másik balra."
74,Előzéskor általában melyik hajó nem változtat útirányt?,Akit előznek.,Aki előz.,A VHF rádió 13-as csatornáján történő egyeztetés szerinti.
75,"Milyen fényeket köteles viselni éjszaka az 50 méternél rövidebb, menetben lévő géphajó éjszaka?","1 db árbocfényt, oldalfényeket és farfényt.","2 db árbocfényt, oldalfényeket és farfényt.",A géphajóra előírt fényeken kívül egy körbe világító villanó sárga fényt.
76,"Milyen fényeket visel éjszaka az 50 méternél hosszabb, menetben lévő géphajó éjszaka?","2 db árbocfényt, oldalfényeket és farfényt.","1 db árbocfényt, oldalfényeket és farfényt.",Szokásos navigációs fényein kívül köteles viselni egy függőleges vonalban elhelyezett felül fehér alul vörös körbevilágító fényt.
77,Milyen kiegészítő fényt visel a vízből kiemelkedve közlekedő légpárnás hajó éjszaka?,Egy minden oldalról látható sárga fényű villanólámpát.,"Az árbocfény közelében, egymás felett, felül zöld, alul fehér körbevilágító fényt.",A talpára állított háromszög csúcsaiban elhelyezett zöld fényeket.
78,Milyen kiegészítő fényeket visel az aknaszedő hajó éjszaka?,Talpára állított háromszög csúcsaiban elhelyezett minden oldalról látható zöld fényeket.,A géphajóra előírt fényeken kívül egy körbe világító villanó sárga fényt.,"2 db árbocfényt, oldalfényeket és farfényt."
79,Milyen kiegészítő jelzőtesteket visel az aknaszedő hajó nappal?,Talpára állított háromszög csúcsaiban elhelyezett fekete gömböket.,"Egy csúcsával összefordított, fekete kettőskúpot.",Egy talpával összefordított fekete kettőskúpot.
80,Milyen kiegészítő fényeket visel a vonóhálóval halászó hajó éjszaka?,"Egymás fölött elhelyezett két minden oldalról látható lámpát, melyek közül a felső zöld, az alsó fehér fényű.",Az árbocfény helyén egymás felett felül vörös alul fehér körbevilágító fényt köteles viselni.,Szokásos navigációs fényein kívül függőleges vonalban elhelyezett 3 db vörös fényű lámpát.
81,Milyen kiegészítő fényeket visel a kerítőhálóval halászó hajó éjszaka?,"Függőleges vonalban, egymás fölött elhelyezett, két minden oldalról látható lámpát, melyek közül a felső vörös, az alsó fehér fényű.",Szokásos navigációs fényein kívül függőleges vonalban elhelyezett 2 db vörös fényű lámpát.,"Az árbocfény közelében, egymás felett, felül zöld, alul fehér körbevilágító és a géphajóra előírt navigációs fényeit viselnie kell."
