question_id,question,correct_answer,incorrect_answer_1,incorrect_answer_2
82,"Milyen kiegészítő fényeket visel a menetben lévő, kormányképtelen géphajó éjszaka?","Függőleges vonalban, egymás fölött elhelyezett, két minden oldalról látható vörös lámpát. ",Függőleges vonalban elhelyezett 3 db vörös fényű lámpát visel.,"1 db legfelül elhelyezett, minden oldalról látható vörös fényű lámpát."
83,Milyen kiegészítő fényeket visel a manőverképességében korlátozott géphajó éjszaka?,"Függőleges vonalban, egymás fölött elhelyezett, három minden oldalról látható lámpát, melyek közül a legfelső és a legalsó vörös, a középső fehér fényű.","Függőleges vonalban, egymás fölött elhelyezett, két minden oldalról látható vörös lámpát. ","Függőleges vonalban elhelyezett három, minden oldalról látható vörös lámpát."
84,Milyen kiegészítő jelzőtesteket visel a vonóhálóval halászó hajó nappal?,"Két egymás fölött elhelyezett, csúcsaikkal érintkező fekete kúpot.","A géphajókon előírt jelzésen kívül visel egy, a talpára állított háromszög csúcsaiban elhelyezett fekete gömböket.",Függőleges vonalban elhelyezett 2 db fekete gömböt köteles viselni.
85,Milyen kiegészítő jelzőtesteket visel a kerítőhálóval halászó hajó nappal?,"Két egymás fölött elhelyezett, csúcsaikkal érintkező fekete kúpot. Ha a háló 150 méternél messzebb nyúlik ki, akkor egy csúcsával felfelé mutató fekete kúpot a háló irányában.","A géphajókon előírt jelzésen kívül visel egy, a talpára állított háromszög csúcsaiban elhelyezett fekete gömböket.","Egy fekete hengerből álló jelzést köteles viselni. Ha a háló 150 méternél nem nyúlik ki messzebb, akkor egy csúcsával lefelé mutató fekete kúpot a háló irányában."
86,"Milyen kiegészítő jelzőtesteket visel a menetben lévő, kormányképtelen hajó nappal?","Függőleges vonalban, egymás fölött elhelyezett 2 db fekete gömböt.","Egy csúcsával összefordított, fekete kettőskúpot.",Egy fekete hengerből álló jelzést.
87,Milyen kiegészítő jelzőtesteket visel a manőverképességében korlátozott géphajó nappal?,"Függőleges vonalban, egymás fölött elhelyezett három fekete jelzőtestet, melyek közül a legfelső és a legalsó gömb, a középső rombusz alakú.","Függőleges vonalban elhelyezett 1 db fekete gömböt, amely fölött egy fekete rombusz látható.","Függőleges vonalban elhelyezett 3 db fekete gömböt köteles viselni, amelyek között egy-egy fekete rombusz látható."
88,Milyen kiegészítő fényeket visel a merülése miatt mozgásában korlátozott géphajó éjszaka?,"Függőleges vonalban, egymás fölött elhelyezett 3 db minden oldalról látható vörös fényű lámpát.","Függőleges vonalban, egymás fölött elhelyezett 2 db vörös fényű lámpát.","Az árbocfény felett, 1 db vörös fényű minden oldalról látható lámpát."
89,Milyen kiegészítő jelzőtestet visel a merülése miatt mozgásában korlátozott géphajó nappal?,Egy fekete hengert.,Egy fekete kúpot.,Egy fekete gömböt.
90,Milyen kiegészítő fényeket visel a révkalauz hajó éjszaka?,"Függőleges vonalban, egymás fölött két minden oldalról látható lámpát, melyek közül a felső fehér, az alsó vörös fényű.","Szokásos navigációs fényein kívül köteles viselni, függőleges vonalban elhelyezett felül vörös alul fehér körbevilágító fényt.","2 db, vízszintes vonalban elhelyezett fehér, minden oldalról látható fényt."
91,Milyen jelzőtestet visel a lehorgonyzott géphajó nappal?,Egy minden oldalról látható fekete gömböt.,Egy fekete hengerből álló jelzést.,Egy csúcsával lefelé álló fekete kúpot.
92,Milyen fényeket visel a zátonyra futott géphajó éjszaka?,"Horgonyfényein kívül függőleges vonalban, egymás alatt, két minden oldalról látható vörös fényű lámpát.","Horgonyfényein kívül egy, vörös körbevilágító fényt visel.","Horgonyfényein kívül három, függőleges vonalban elhelyezett vörös, minden oldalról látható fényt visel."
93,"Milyen kódlobogó jelzi nappal, hogy a révkalauz van a fedélzeten?",H (Hotel).,P (Papa).,B (Bravo).
94,Milyen fényeket visel a horgonyon álló géphajó éjszaka?,"Egy minden oldalról látható, fehér fényű lámpát. Ha a hajó 50 méternél hosszabb, akkor második minden oldalról látható, fehér fényű lámpát is visel.","Egy körbevilágító fehér fényt. Ha 50 méternél hosszabb a hajó, akkor a fedélzet megvilágítása is szükséges.","Egy minden oldalról látható fehér fényt. Ha a hajó 50 méternél hosszabb, akkor egy kiegészítő körbevilágító zöld fény is szükséges."
95,Milyen jelzőtesteket visel a zátonyra futott géphajó nappal?,"Függőleges vonalban, egymás alatt három fekete gömböt.",Függőleges vonalban elhelyezett 2 db fekete gömböt.,1 db fekete gömböt.
96,"Milyen hangjelzést köteles adni szűk csatorna, vagy hajóút kanyarulatához közeledő géphajó?",Egy hosszú hangjelzést.,Egy rövid hangjelzést.,Két hosszú hangjelzést.
97,Menetben lévő géphajó korlátozott látási viszonyok között milyen hangjelzést köteles adni?,Két percet meg nem haladó időközönként egy hosszú hangjelzést.,Két percet meg nem haladó időközönként két rövid hangjelzést.,Két percet meg nem haladó időközönként két hosszú hangjelzést.
98,Mire szolgál a hajón elhelyezett vészhelyzetjelző rádióbója (EPIRB-bója)?,"Ez egy olyan úszóképes helyzetjelző berendezés, amely a veszélybe került hajó azonosításához szükséges adatokat, valamint a jeladó pillanatnyi GPS koordinátáit sugározza műholdakon keresztül parti segélyközpontba.",A bójával az elsüllyedt hajó helyét jelölik meg.,"Jelzi, hogy az adott pozícióban milyen tengeráramlásra lehet számítani."
99,Melyik NEM vészjelzés az alábbiak közül?,Egyik kar folyamatos fel-le nyújtogatása.,Ködjelző készülék folyamatos szólaltatása.,Lángjelek a hajón (mint pl. egy olajos hordó meggyújtása).
100,Milyen jeleket sugároz a SART bója?,A felkutatást elősegítő radarfrekvenciás jelet.,"MMSI számot, pozíciót, hajónevet.",A vészhelyzet jellegét közvetíti.
101,Mi az összeütközések megelőzésére vonatkozó nemzetközi szabályozás (COLREG) területi hatálya?,"Nyílt tengereken és az azokkal összeköttetésben lévő, tengeri hajókkal járható összes vizeken kell alkalmazni.",Csak a nyílt tengeren hajózható vizeken érvényes.,Csak a partmenti hajózható vizekre vonatkozik.
102,Ki hosszabbíthatja meg a hajózási dokumentumok lejárt érvényességét külföldön?,A konzul.,A nagykövet.,Csak Magyarországon hosszabbíthatók.
103,Mi a globális tengeri vészjelző és biztonsági rendszer (GMDSS) célja?,"A biztonság növelése, és a bajba jutott hajók mentésének megkönnyítése.",Korlátozott látási viszonyok között való tájékozódást segíti elő.,Tengerrengéseket követő szökőár veszélyére figyelmeztet.
104,Mi az INMARSAT rendszer?,"Telefon- és adatszolgáltatást nyújtó műholdas kommunikációs rendszer, elsősorban a partoktól távol közlekedő hajók részére.","A tenger szaturációjának, azaz oldott oxigéntartalmának változását leíró rendszer.",A tenger áramlásának kedvezőtlen hatásaira figyelmeztető rendszer.
105,A partoktól meddig terjed a GMDSS rendszerben az A1-es tengeri körzet?,A partoktól 20-30 tengeri mérföldig.,A partoktól 2-3 tengeri mérföldig.,A partoktól 200-300 tengeri mérföldig.
106,"Mit jelent az, ha egy VHF rádiócsatorna szimplex üzemmódú?","Az adás és a vétel ugyanazon a frekvencián történik, ezért egyszerre adni és venni rajta nem lehet, viszont a csatornán mindenki hall minden adást.","Az adás és a vétel különböző frekvencián történik, ezért rajta a hajó által közölt információt csak a parti állomás hallja.",A rádiócsatornán csak az adás üzemmód működik.
107,"Melyik szó használata jelenti VHF rádióforgalmazásban azt, hogy az egyik fél befejezi az adását és vételre kapcsolva várja a választ?",Over.,Vége.,Vettem.
108,Hogyan történik a VHF rádiók bekapcsolása?,"Egyes rádiókon külön ki- és bekapcsoló gomb van (On/Off), míg másokon a hangerőszabályzóval (Volume) van összekötve a ki- és a bekapcsolás.",A piros műanyag fedelet felemelve a DISTRESS gomb megnyomásával kapcsoljuk be.,A COVER gomb hosszú ideig (kb. 3 mp-ig) tartó megnyomásával lehet bekapcsolni.
109,Mivel tudjuk a rádió által vett légköri- és egyéb elektromágneses alapzaj zavaró hatását csökkenteni?,A SQUELCH (zajzár) szolgál a rádióvevő érzékenységének beállítására.,A DISTRESS gomb megnyomásával.,Csak a hangerő letekerésével tudjuk csökkenteni a rádió alapzaját.
110,Mit jelez a MAYDAY kifejezés használata a rádiózásban?,"Vészhelyzeti kommunikációt, azonnali külső segítségre van szükség.","Sürgősségi kommunikációt, nincs szükség azonnali külső segítségre.","Biztonsággal kapcsolatos kommunikációt, navigációs és meteorológiai figyelmeztetéseket."
111,Mit jelez a PAN-PAN kifejezés használata a rádiózásban?,"Sürgősségi kommunikációt, nincs szükség azonnali külső segítségre.","Biztonsággal kapcsolatos kommunikációt, navigációs és meteorológiai figyelmeztetéseket.","Vészhelyzeti kommunikációt, azonnali külső segítségre van szükség."
112,Mit jelez a SECURITE kifejezés használata a rádiózásban?,"Biztonsággal kapcsolatos kommunikációt, navigációs és meteorológiai figyelmeztetéseket.","Vészhelyzeti kommunikációt, azonnali külső segítségre van szükség.","Sürgősségi kommunikációt, nincs szükség azonnali külső segítségre."
113,"Mit tesz, ha a VHF rádión az Ön térségére vonatkozó meteorológia közleményben a GALE WARNING kifejezést hallja?","A kifejezés viharra figyelmeztet, ha a tengeren partközelben vagyok, akkor biztonságos kikötő-, vagy horgonyzóhelyet keresek.","Ha közleményhez hozzáteszik BURRASCA utótagot is, akkor szép időt jósolnak.","A kifejezés azt jelenti, hogy az időjárásjelentésben most kerül sor a távolabbi kilátások ismertetésére."
114,Mit jelent a MEDICO kifejezés használata a rádiózásban?,"Sürgősségi üzenetekben ezzel az utótaggal jelzik, hogy orvosi segítségre van szükség (PAN-PAN MEDICO).","Biztonsági közleményekben ezzel jelzik, hogy orvos tartózkodik a hajón.",Mentőhajó által használt megkülönböztető jelzés.
115,Mit jelent a SEELONCE FEENEE kifejezés a rádiózásban?,"A vészhelyzet elmúltával a rádiócsend feloldását jelenti, a hatóság adhatja le.","Teljes rádiócsend kihirdetését jelenti, a veszélyt észlelő hajó adja le.","Továbbított vészhelyzetet jelent, vagyis amikor észleljük, hogy más hajó van veszélyben."
116,"Milyen kifejezés háromszori megismétlése jelenti a VHF rádióforgalomban azt, hogy személy vagy hajó biztonságát veszélyeztető esemény történt, de jelenleg még nincs életveszélyes helyzet?",PAN-PAN,MAYDAY,SECURITE
117,Hogyan tud téves riasztást törölni?,"Háromszor bemondva az ALL STATIONS kifejezést, majd be kell jelenteni az előző vészjelzés törlését.","Háromszor bemondva a SORRY kifejezést, majd közölni, hogy valaki téves riasztást adott.","A DELETE, DELETE, DELETE kifejezés bemondása a rádióban a vészjelzés törlését jelenti."
118,"Melyik rádiócsatornát kell minden forgalomban résztvevő hajónak folyamatosan figyelni (kivéve, ha éppen másik csatornán el van foglalva)?",A 16-os csatornát.,A 10-es csatornát.,A 8-as csatornát.
119,Melyik VHF rádiócsatorna van fenntartva a digitális szelektív hívás (DSC) számára?,70-es.,72-es.,73-as.
120,"Milyen kifejezés háromszori megismétlése jelenti a VHF rádióforgalomban, hogy egy hajó és annak személyzete közvetlen veszélyben van?",MAYDAY,DISTRESS,PAN-PAN
121,Mit jelent a MAYDAY RELAY kifejezés a rádiózásban?,"Továbbított vészjelzést, a vészhelyzeti közleményt olyan állomás adja le, amely maga nincs vészhelyzetben.",Teljes rádiócsend kihirdetését.,Vészhelyzeti közlemény végét jelenti.
122,Mit jelent a SEELONCE MAYDAY kifejezés a rádiózásban?,"A 16-os csatornán jelenleg az aktuális vészhelyzet kezelésével kapcsolatban szabad forgalmazni. A hatóság használja a kifejezést akkor, ha ezt a rendet harmadik személy megzavarja.","Továbbított vészhelyzetet jelent, vagyis amikor észleljük, hogy más hajó van veszélyben.","A vészhelyzet elmúltával a rádiócsend feloldását jelenti, a hatóság adhatja le."
123,Mire szolgál a VHF rádión a DISTRESS gomb?,Hosszan lenyomva vészhelyzeti üzenetet küld ki a rádió.,Az adott rádiókapcsolatot megszakítja a készülék.,Több hívás egyidejű kezelésére alkalmas gomb.
124,Milyen adatokat küldhet el a DISTRESS gomb hosszan történő megnyomását követően egy VHF rádiókészülék?,"A hajó MMSI kódját és pozícióját, a küldés időpontját, továbbá a vészhelyzet típusát.","A hajó nevét, hosszát és a legénység utaslista szerinti létszámát.","A hajó helyzetét, haladási irányát, sebességét, és a gombot megnyomó személy nevét."
125,Általában milyen hosszan kell nyomva tartani a DISTRESS gombot a VHF rádión vészhelyzeti üzenet leadásához?,Legalább 5 másodpercig.,Elegendő 2 másodpercig.,Maximum 4 másodpercig.
126,Milyen esetben indokolt vészhívás kezdeményezése VHF rádión?,"Ha egy hajót vagy személyt súlyos és közvetlen veszély fenyeget, és azonnali segítségre van szükség.",Ha géphiba esetén kb. 4 órán belül fennáll a megfeneklés veszélye.,"Csak a hajó parancsnoka adhat le vészhívást, ha úgy ítéli, hogy a hajónak és a személyzetének segítségre van szüksége."
127,Ki a VHF rádión leadott vészhívás címzettje?,A VHF vételkörzetben lévő minden állomás.,Partmenti vizeken csak a parti őrség.,Mindig csak a mentési központ (MRCC).
128,Az alábbiak közül melyik a másodlagos riasztás eszköze?,Az EPIRB bója.,A SART bója.,A VHF rádió.
129,"Melyik kódlobogó jelenti azt, hogy EMBER A VÍZBEN?",O (Oscar).,M (Mike).,W (Whiskey).
130,Vízben eltűnt személy felkutatására milyen keresési módszereket ismer?,Szektoronként és növekvő négyszögekben végzett kutatást.,A látótávolságnak megfelelő sugarú körben történő kutatást.,S alakban történő kutatást.
131,"Milyen tényezők alapján határozza meg a kutatási területet vízbeesett, de jelenleg nem látható személy felkutatása során?","A vízbeesés ideje, hajónk sebessége áramlás, szél, látási viszonyok.",A mentés vezetőjének utasításai alapján.,A víz hőmérséklete és a hullámmagasságok függvényében.
132,Szabad-e vizet használni elektromos tűz oltásához?,Nem.,Igen.,
133,"Mi célt szolgál a hajókonyha felett elhelyezett piros, lapos doboz, FIRE BLANKET felirattal?","Tűzoltópokróc található benne, amely a tűzhelyen vagy annak környezetében keletkező tüzet hivatott lokalizálni és eloltani.",A doboz vészjelző rakétákat tartalmaz.,"A dobozban a palackos gáz vészelzáró szelepe található, melyet tűz esetén azonnal el kell zárni."
134,Mire kell mindig nagy hangsúlyt fektetnie egy hajóvezetőnek a hajón keletkező tüzekkel kapcsolatban?,A megelőzésre.,Gondoskodjon elegendő oltóvízről.,Sose tankoljon üzemanyagot kannából.
135,"Honnan szerez információt arról, hogy a tengeren magyar lobogó alatt közlekedő kedvtelési kishajó részére melyek az előírt kötelező és ajánlott kiegészítő tengeri felszerelések?",A hajózási hatóság által közzétett Felszerelési jegyzék alapján.,A kiegészítő felszerelési lista minden hajólevélben fel van tüntetve.,"Ugyanaz a kötelező felszerelés, mint a belvízen közlekedő hajók esetében."
136,Kötelező-e a magyar felszerelési jegyzék szerint a D tengeri hajózási körzetben (védett part menti vizeken) közlekedő kishajókon a vészjelző rakéták és kézi fáklyák megléte?,"Nem, de ajánlott.","Igen, ezek minden tengeri kishajón kötelezőek.","Nem, meglétük csak kereskedelmi hajókon kötelező."
137,Charterhajó átvételekor hány darab mentőmellényt kell találnia a hajón?,"Minimum annyit, amennyi a hajó okmányába bejegyzett maximum utaslétszám.",A hajónaplóban meghatározott minimális személyzet létszámnak megfelelő mennyiségűt. ,Az előre leadott utaslistának megfelelő darabszámút.
138,Kötelező-e egy kedvtelési kishajót automatikus hajóazonosító rendszerrel (AIS) felszerelni?,"Nem, csak ajánlott.",Kötelező.,"Csak akkor kötelező, ha utasokat is szállít."
139,Miért nem javasolt a sziklás mederfenék horgonyzásra?,Mert a horgony végleg (kiszabadíthatatlanul) beakadhat a sziklák közé.,Mert itt általában sokkal mélyebb a víz.,Mert a charter hajókon nem szokott lenni a sziklás talajhoz való horgony.
140,"Milyen hosszú horgonyláncot kell kiengedni ahhoz, hogy a mederben megakadt horgony biztonságosan megtartsa a hajót?",Minimum a vízmélység háromszorosának megfelelő hosszúságút.,Elegendő a vízmélységhez viszonyított kétszeres lánchossz.,A lánckamrában lévő összes láncot ki kell ehhez engedni.
141,A szomszédos hajókra való tekintettel hogyan választjuk meg a horgonyzóhelyünket?,"Számítunk arra, hogy a szél iránya megváltozhat.",Legalább fél mérföldre legyünk a legközelebbi hajótól.,Mindig mi legyünk a mélyebb vízen.
142,Melyik két szél befolyásolja jelentősen az Adria időjárását?,A Bóra és a Jugó (vagy más néven Sirokkó).,Nyáron a passzát és télen a monszun.,A Kosava és a Velebit.
143,A bórának gyakran nincs előjele. Van-e olyan időjárási jelenség ami mégis jelezheti a bóra kezdetét?,"Bórára lehet számítani, amikor fehér felhősapka jelenik meg a Velebit-hegység felett.",Teliholdat követően gyakran 2-3 napig fúj a bóra.,"Csak az évszakokhoz köthető a bóra, ugyanis ez a szél télen fúj."
144,"Milyen hullámokra számít, ha a Jugó (vagy más néven Sirokkó) fúj az Adrián?","Ez a szél a nyílt tengeren magas hullámokat kelt, kellemetlenné téve a hajózást.","Ennek a szélnek a jellemzője, hogy vízcseppeket sodor le a hullámok tarajáról, mely vízpermet belélegzése oxigénhiányos állapot kialakulásával járhat.","Az Adrián nincs ami megtörje a hullámokat, ezért ott rendellenes vízmozgással, áramlásokkal nem kell számolnom."
145,Milyen hullámfajtákat különböztetünk meg?,"Élő hullám, döghullám, törőhullám és bukó hullám .",Hideg és meleg hullám.,Aktív és passzív hullám.
146,Mi az izobár fogalma?,Az időjárási térképeken az azonos légnyomású pontokat összekötő görbe.,Az azonos hőmérsékletű pontokat a térképen összekötve az izobárnak nevezett görbét kapjuk meg.,Az azonos magasságú pontok a térképen összekötve az izobárok.
147,Mikor alakul ki partközelben a kishajókra veszélyt jelentő bukóhullám?,"Amikor a nyílt víz felől érkező hullámok elérik a sekély vizet (a tengerfenék mélysége a hullámmagasságnak már csak egy-, vagy kétszerese), akkor a hullámok átbuknak.","Mély tengerfenék felett keletkezik, amikor egy bizonyos helyen jön létre lassulás és emiatt a hullámhegyek átbuknak.","Amikor a hullám eléri az amplitúdójának a maximumát, akkor átbukik."
148,"Miért keletkeznek helyi, ún. parti és tengeri szelek?",A szárazföld és a víz eltérő felmelegedése miatt.,Az azori alacsony légnyomású légtömegek miatt.,A part tagoltsága és domborzati viszonyai miatt.
149,"Számíthatunk-e a part menti vizeken hajózva, nyáron, jó időben helyi, ún. parti és tengeri szelekre?","Igen, napszaktól függően.","Nem, mert tengeri szelekre csak a nyílt vízen számíthatunk.",
150,Hol tud az aktuális időjárás-előrejelzésről informálódni egy kedvtelési tengeri kishajós?,A jachtkikötőkben (marinákban).,Erre szakosodott internetkávézókban.,Időjárás-előrejelzés kishajón csak NAVTEX vevő birtokában érhető el.
151,Számíthat-e a Földközi-tengeren az ár-apály jelenség miatt jelentős (több méteres) vízszintingadozásra?,Nem.,Igen.,
152,Mire szolgál a Douglas-skála?,A tengerállapot (hullámzás) pontos leírására.,A szél állapotának (erejének) megállapítására.,A helyi légnyomás és a hullámzás összefüggéseit írja le.
153,Hány fokozatból áll a Douglas-skála?,10,12,9
154,"Szabad-e kishajóról környezetre veszélyes szennyező anyagot (olajat, festéket, savat, stb.) a tengerbe engedni?","Nem szabad. Ezeket külön tárolóedényekben kell gyűjteni, és a kikötőkben erre megjelölt helyen kiadni.","Kikötőkben nem, csak a parttól mért legalább egy mérföld távolságban.","Szabad, de csak nyílt tengeren, a parttól legalább 12 tengeri mérföldes távolságban."
155,"Mi a helyes eljárás a kishajón keletkező hulladékok (műanyag, üveg, papír, fém, stb.) kezelését illetően?","Szeméttárolóban gyűjteni őket, ha lehetséges szelektíven. A parton, vagy kikötőkben az arra megjelölt helyen kiadni.",A parttól számított 12 tengeri mérföldre megengedett őket a vízbe kidobni.,"Csak lakott területtől, kijelölt strandtól, fürdőzőktől távol, a szél és áramlások irányát figyelembe véve szabad őket kidobni."